itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8007689,"SAP Convergent Mediation by DigitalRoute, public cloud edition","2,77,17,500",Revenue and Expense,"2,661.00",USD,Month,41,Infinite
8008118,"SAP Access Violation Management by Pathlock, cloud edition for system integration",1,Connection,"8,562.00",USD,Month,1,Infinite
8008173,"SAP Digital Payments, base package","20,040",Transaction,"2,949.00",USD,Month,1,Infinite
8008254,"SAP Cloud Identity Access Governance, integration edition",1,Connection,"12,720.00",USD,Month,1,Infinite
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,774,USD,Month,1,5
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,588,USD,Month,6,10
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,445,USD,Month,11,50
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,309,USD,Month,51,100
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,196,USD,Month,101,250
8008260,"SAP Document and Reporting Compliance, cloud edition","10,000",Document,134,USD,Month,251,Infinite
8008505,"SAP Document and Reporting Compliance, inbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,866,USD,Month,1,5
8008505,"SAP Document and Reporting Compliance, inbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,686,USD,Month,6,10
8008505,"SAP Document and Reporting Compliance, inbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,449,USD,Month,11,50
8008505,"SAP Document and Reporting Compliance, inbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,387,USD,Month,51,250
8008505,"SAP Document and Reporting Compliance, inbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,245,USD,Month,251,Infinite
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,226,USD,Month,1,5
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,174,USD,Month,6,10
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,104,USD,Month,11,50
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,45,USD,Month,51,250
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,18,USD,Month,251,1000
8008888,"SAP Document and Reporting Compliance, outbound invoicing option for Brazil (nota fiscal eletr????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????nica)","10,000",Document,7.31,USD,Month,1001,Infinite
8009454,"SAP Document and Reporting Compliance, private cloud edition","10,000",Document,333,USD,Month,1,50
8009454,"SAP Document and Reporting Compliance, private cloud edition","10,000",Document,129,USD,Month,51,100
8009454,"SAP Document and Reporting Compliance, private cloud edition","10,000",Document,67,USD,Month,101,Infinite
8010893,"SAP Entitlement Management, additional test tenant",1,Tenant,"2,621.00",USD,Month,1,Infinite
8010987,SAP Risk and Assurance Management,1,User,523,USD,Month,1,20
8010987,SAP Risk and Assurance Management,1,User,325,USD,Month,21,50
8010987,SAP Risk and Assurance Management,1,User,234,USD,Month,51,150
8010987,SAP Risk and Assurance Management,1,User,181,USD,Month,151,500
